Date,Apple Watch stand hours(hr),Exercise time(min),Flights climbed(count),Heart rate(count/min),Resting heart rate(count/min),Stand time(min),Step count(count),Walking heart rate average(count/min)
2020-03-08,17.000,42.000,1.000,71.067,54.000,235.000,14125.479,88.000
2020-03-09,17.000,14.000,4.000,66.134,53.000,150.000,7792.000,93.000
2020-03-10,18.000,12.000,1.000,66.429,55.000,156.000,7820.000,96.000
2020-03-11,18.000,19.000,2.000,72.899,59.000,137.000,9290.353,82.000
2020-03-12,15.000,9.000,2.000,72.026,61.000,157.000,8239.647,94.000
2020-03-13,15.000,1.000,,69.224,60.000,106.000,5567.000,89.500
2020-03-14,15.000,7.000,1.000,76.309,62.000,98.000,6838.099,97.000
2020-03-15,15.000,3.000,2.000,71.577,62.000,164.000,8164.000,92.000
2020-03-16,16.000,1.000,1.000,67.931,58.000,70.000,3608.000,92.500
2020-03-17,15.000,1.000,,71.419,61.000,79.000,5710.000,94.000
2020-03-18,15.000,33.000,,81.568,62.000,104.000,7820.000,99.000
2020-03-19,16.000,8.000,1.000,78.277,64.000,131.000,8625.000,109.000
2020-03-20,16.000,3.000,1.000,77.645,66.000,112.000,6464.000,107.000
2020-03-21,14.000,30.000,2.000,79.309,63.000,94.000,5732.614,105.500
2020-03-22,18.000,2.000,3.000,76.063,65.000,125.000,6495.000,92.500
2020-03-23,14.000,21.000,,83.405,61.000,135.000,8203.000,118.000
2020-03-24,16.000,5.000,1.000,71.623,61.000,78.000,4560.000,86.000
2020-03-25,14.000,,,71.041,60.000,101.000,5240.000,102.500
2020-03-26,15.000,6.000,2.000,70.978,60.000,75.000,3672.000,96.500
2020-03-27,17.000,37.000,3.000,87.670,65.000,142.000,9008.000,123.000
2020-03-28,17.000,4.000,3.000,74.001,63.000,136.000,6067.339,107.000
2020-03-29,16.000,4.000,8.000,72.315,59.000,157.000,7397.000,99.000
2020-03-30,15.000,3.000,2.000,71.045,59.000,72.000,4319.000,92.000
2020-03-31,17.000,31.000,4.000,67.894,57.000,98.000,5504.000,87.000
2020-04-01,16.000,6.000,2.000,68.632,56.000,91.000,5265.000,80.000
